,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
639,Decision - Unanimous,3,15:00,W,Paul Felder,0,41 of 95,43%,53 of 107,0 of 2,0%,0,0,1:13,15 of 63,14 of 17,12 of 15,36 of 89,5 of 6,0 of 0,L,Joshua Burkman,0,40 of 97,41%,41 of 98,3 of 6,50%,0,0,3:25,16 of 58,6 of 10,18 of 29,38 of 93,2 of 4,0 of 0
640,Submission,3,13:56,W,Paul Felder,0,46 of 87,52%,69 of 110,2 of 4,50%,3,0,6:12,32 of 68,8 of 12,6 of 7,11 of 37,14 of 25,21 of 25,L,Daron Cruickshank,0,32 of 58,55%,54 of 82,3 of 8,37%,0,0,2:57,18 of 39,11 of 15,3 of 4,22 of 41,9 of 15,1 of 2
641,Decision - Split,3,15:00,L,Paul Felder,0,60 of 151,39%,72 of 163,0 of 0,---,0,0,1:57,35 of 122,15 of 17,10 of 12,38 of 121,17 of 24,5 of 6,W,Ross Pearson,0,62 of 116,53%,86 of 140,1 of 1,100%,0,0,3:03,28 of 73,22 of 29,12 of 14,56 of 100,6 of 11,0 of 5
642,Decision - Unanimous,3,15:00,L,Paul Felder,0,47 of 150,31%,50 of 153,0 of 1,0%,0,0,0:18,22 of 114,9 of 15,16 of 21,45 of 147,2 of 3,0 of 0,W,Edson Barboza,0,64 of 135,47%,64 of 135,0 of 1,0%,0,0,0:00,19 of 78,22 of 29,23 of 28,64 of 135,0 of 0,0 of 0
643,KO/TKO,2,7:09,W,Paul Felder,1,33 of 94,35%,33 of 94,0 of 0,---,0,0,0:02,10 of 65,5 of 11,18 of 18,31 of 90,1 of 2,1 of 2,L,Danny Castillo,0,21 of 52,40%,21 of 52,0 of 2,0%,0,0,0:00,9 of 38,8 of 9,4 of 5,21 of 52,0 of 0,0 of 0
644,Decision - Split,3,15:00,W,Paul Felder,0,51 of 84,60%,72 of 109,1 of 1,100%,0,0,3:41,44 of 77,4 of 4,3 of 3,12 of 26,15 of 21,24 of 37,L,Jason Saggo,1,29 of 50,58%,45 of 77,6 of 16,37%,0,1,7:19,21 of 38,3 of 5,5 of 7,14 of 29,4 of 5,11 of 16
645,Submission,2,6:46,W,Diego Ferreira,0,25 of 53,47%,43 of 74,3 of 7,42%,1,0,3:54,18 of 43,4 of 6,3 of 4,16 of 39,3 of 4,6 of 10,L,Anthony Pettis,0,22 of 45,48%,28 of 51,0 of 0,---,0,0,0:00,12 of 33,9 of 11,1 of 1,18 of 41,3 of 3,1 of 1
646,Decision - Unanimous,3,15:00,W,Diego Ferreira,0,109 of 326,33%,112 of 329,0 of 2,0%,0,0,0:19,77 of 271,25 of 46,7 of 9,107 of 323,2 of 3,0 of 0,L,Mairbek Taisumov,0,51 of 160,31%,51 of 160,0 of 2,0%,0,0,0:01,40 of 139,5 of 13,6 of 8,51 of 160,0 of 0,0 of 0
647,Decision - Unanimous,3,15:00,W,Diego Ferreira,0,83 of 284,29%,91 of 293,0 of 0,---,1,0,0:13,55 of 237,18 of 36,10 of 11,69 of 264,10 of 15,4 of 5,L,Rustam Khabilov,0,43 of 147,29%,44 of 149,3 of 12,25%,0,0,1:02,32 of 126,10 of 20,1 of 1,36 of 134,6 of 10,1 of 3
648,KO/TKO,2,6:23,W,Diego Ferreira,0,54 of 102,52%,63 of 112,2 of 4,50%,1,0,3:28,42 of 87,8 of 11,4 of 4,27 of 55,1 of 1,26 of 46,L,Kyle Nelson,0,20 of 50,40%,20 of 50,0 of 0,---,0,0,0:14,12 of 37,6 of 10,2 of 3,19 of 48,1 of 1,0 of 1
649,KO/TKO,1,1:58,W,Diego Ferreira,1,29 of 60,48%,29 of 60,0 of 0,---,0,0,0:18,24 of 54,3 of 4,2 of 2,13 of 44,0 of 0,16 of 16,L,Jared Gordon,0,8 of 17,47%,8 of 17,0 of 1,0%,0,0,0:00,8 of 17,0 of 0,0 of 0,8 of 17,0 of 0,0 of 0
650,Decision - Unanimous,3,15:00,W,Diego Ferreira,0,65 of 152,42%,130 of 226,0 of 5,0%,0,1,4:03,46 of 121,12 of 23,7 of 8,55 of 137,5 of 10,5 of 5,L,Olivier Aubin-Mercier,0,49 of 93,52%,55 of 99,1 of 5,20%,0,0,0:57,39 of 78,8 of 13,2 of 2,45 of 86,3 of 5,1 of 2
651,KO/TKO,1,3:45,L,Diego Ferreira,0,20 of 56,35%,20 of 56,0 of 2,0%,0,0,0:58,12 of 46,5 of 7,3 of 3,16 of 52,4 of 4,0 of 0,W,Dustin Poirier,2,24 of 50,48%,29 of 56,0 of 0,---,0,0,0:46,20 of 45,1 of 2,3 of 3,20 of 41,1 of 2,3 of 7
652,Decision - Unanimous,3,15:00,L,Diego Ferreira,0,21 of 85,24%,24 of 90,0 of 1,0%,0,0,0:36,11 of 71,8 of 12,2 of 2,14 of 71,7 of 14,0 of 0,W,Beneil Dariush,0,32 of 68,47%,54 of 97,3 of 6,50%,0,0,7:53,19 of 48,6 of 10,7 of 10,12 of 32,10 of 17,10 of 19
653,KO/TKO,2,6:53,W,Diego Ferreira,1,25 of 70,35%,33 of 79,0 of 0,---,2,1,0:47,17 of 56,6 of 11,2 of 3,16 of 61,0 of 0,9 of 9,L,Ramsey Nijem,0,18 of 58,31%,27 of 67,2 of 4,50%,0,0,1:41,13 of 52,3 of 4,2 of 2,15 of 46,0 of 1,3 of 11
654,Submission,1,0:38,W,Diego Ferreira,0,7 of 10,70%,7 of 10,1 of 1,100%,1,0,0:10,4 of 6,3 of 4,0 of 0,2 of 4,3 of 3,2 of 3,L,Colton Smith,0,2 of 3,66%,2 of 3,0 of 0,---,0,0,0:10,0 of 1,1 of 1,1 of 1,0 of 1,2 of 2,0 of 0
655,Decision - Unanimous,3,15:00,L,Al Iaquinta,0,37 of 116,31%,38 of 117,0 of 3,0%,0,0,0:24,21 of 93,7 of 11,9 of 12,37 of 116,0 of 0,0 of 0,W,Dan Hooker,1,98 of 207,47%,104 of 213,0 of 1,0%,0,0,2:29,68 of 168,7 of 13,23 of 26,76 of 182,0 of 0,22 of 25
656,Decision - Unanimous,5,25:00,L,Al Iaquinta,0,90 of 223,40%,90 of 223,0 of 5,0%,0,0,0:00,49 of 165,23 of 38,18 of 20,90 of 223,0 of 0,0 of 0,W,Donald Cerrone,2,138 of 361,38%,140 of 363,0 of 0,---,0,0,0:22,87 of 302,17 of 25,34 of 34,129 of 344,3 of 3,6 of 14
657,Decision - Unanimous,5,25:00,W,Al Iaquinta,0,111 of 228,48%,113 of 230,0 of 7,0%,0,0,0:14,82 of 189,19 of 28,10 of 11,110 of 226,0 of 0,1 of 2,L,Kevin Lee,0,102 of 296,34%,121 of 319,3 of 5,60%,0,0,5:25,80 of 267,14 of 21,8 of 8,81 of 273,1 of 1,20 of 22
658,Decision - Unanimous,5,25:00,L,Al Iaquinta,0,41 of 141,29%,43 of 143,0 of 1,0%,0,0,0:00,27 of 117,11 of 20,3 of 4,41 of 141,0 of 0,0 of 0,W,Khabib Nurmagomedov,0,134 of 304,44%,172 of 352,6 of 15,40%,1,0,10:33,122 of 287,7 of 12,5 of 5,100 of 255,0 of 0,34 of 49
659,KO/TKO,1,1:38,W,Al Iaquinta,2,12 of 19,63%,12 of 19,0 of 0,---,0,0,0:05,9 of 15,1 of 2,2 of 2,8 of 15,2 of 2,2 of 2,L,Diego Sanchez,0,4 of 15,26%,4 of 15,0 of 0,---,0,0,0:00,2 of 13,2 of 2,0 of 0,4 of 14,0 of 1,0 of 0
660,Decision - Split,3,15:00,W,Al Iaquinta,0,55 of 153,35%,55 of 153,0 of 9,0%,0,0,0:07,18 of 107,11 of 18,26 of 28,54 of 150,1 of 3,0 of 0,L,Jorge Masvidal,0,83 of 170,48%,86 of 173,0 of 0,---,0,0,0:25,62 of 146,10 of 11,11 of 13,77 of 155,1 of 6,5 of 9
661,KO/TKO,2,8:34,W,Al Iaquinta,1,59 of 154,38%,63 of 158,1 of 3,33%,0,0,0:22,44 of 132,9 of 14,6 of 8,51 of 141,5 of 7,3 of 6,L,Joe Lauzon,0,32 of 86,37%,32 of 86,0 of 1,0%,0,0,0:07,31 of 84,0 of 1,1 of 1,32 of 85,0 of 1,0 of 0
662,KO/TKO,2,6:39,W,Al Iaquinta,2,31 of 93,33%,32 of 94,0 of 1,0%,0,0,0:03,25 of 81,3 of 9,3 of 3,26 of 84,3 of 6,2 of 3,L,Ross Pearson,0,20 of 60,33%,21 of 61,0 of 1,0%,0,0,0:00,13 of 49,3 of 6,4 of 5,20 of 60,0 of 0,0 of 0
663,KO/TKO,3,12:26,W,Al Iaquinta,1,93 of 221,42%,93 of 221,0 of 0,---,0,0,0:06,67 of 183,14 of 26,12 of 12,90 of 217,2 of 3,1 of 1,L,Rodrigo Damm,0,57 of 177,32%,57 of 177,0 of 5,0%,0,0,0:10,51 of 168,5 of 6,1 of 3,57 of 177,0 of 0,0 of 0
664,Submission,2,5:57,L,Al Iaquinta,0,13 of 19,68%,31 of 40,1 of 1,100%,2,0,4:31,10 of 16,3 of 3,0 of 0,6 of 8,0 of 0,7 of 11,W,Mitch Clarke,0,8 of 21,38%,20 of 34,0 of 0,---,1,0,0:10,3 of 12,2 of 5,3 of 4,8 of 20,0 of 0,0 of 1
665,Decision - Unanimous,3,15:00,W,Al Iaquinta,1,49 of 122,40%,50 of 125,0 of 1,0%,1,0,1:48,41 of 106,6 of 13,2 of 3,47 of 120,0 of 0,2 of 2,L,Kevin Lee,0,39 of 142,27%,51 of 155,1 of 8,12%,2,0,4:10,32 of 131,6 of 10,1 of 1,28 of 124,0 of 3,11 of 15
666,Decision - Unanimous,3,15:00,W,Al Iaquinta,0,85 of 197,43%,87 of 200,2 of 8,25%,0,0,2:54,62 of 168,15 of 21,8 of 8,75 of 184,5 of 8,5 of 5,L,Piotr Hallmann,0,66 of 176,37%,91 of 204,3 of 9,33%,0,0,0:24,40 of 133,18 of 28,8 of 15,65 of 174,0 of 1,1 of 1
667,Decision - Unanimous,3,15:00,W,Al Iaquinta,0,80 of 177,45%,86 of 183,4 of 4,100%,0,0,0:53,55 of 147,19 of 24,6 of 6,62 of 150,13 of 20,5 of 7,L,Ryan Couture,0,45 of 155,29%,47 of 158,0 of 6,0%,0,0,1:08,20 of 122,12 of 18,13 of 15,38 of 142,7 of 13,0 of 0
668,Submission,1,2:47,L,Al Iaquinta,0,8 of 16,50%,8 of 16,0 of 0,---,0,0,0:00,6 of 13,1 of 2,1 of 1,8 of 14,0 of 2,0 of 0,W,Michael Chiesa,0,9 of 15,60%,9 of 15,1 of 3,33%,1,0,1:05,5 of 11,1 of 1,3 of 3,9 of 15,0 of 0,0 of 0
669,Submission,3,10:28,L,Kevin Lee,0,41 of 80,51%,61 of 100,2 of 3,66%,0,1,6:30,35 of 74,6 of 6,0 of 0,31 of 65,0 of 0,10 of 15,W,Charles Oliveira,0,43 of 65,66%,51 of 73,0 of 1,0%,2,1,0:11,28 of 49,9 of 10,6 of 6,35 of 56,2 of 2,6 of 7
670,KO/TKO,1,2:47,W,Kevin Lee,1,21 of 59,35%,21 of 59,0 of 0,---,0,0,0:01,19 of 55,2 of 4,0 of 0,20 of 56,0 of 2,1 of 1,L,Gregor Gillespie,0,9 of 46,19%,9 of 46,0 of 1,0%,0,0,0:00,8 of 45,0 of 0,1 of 1,9 of 46,0 of 0,0 of 0
671,Submission,4,18:47,L,Kevin Lee,0,35 of 97,36%,40 of 102,6 of 16,37%,0,0,8:42,23 of 79,10 of 16,2 of 2,27 of 86,7 of 10,1 of 1,W,Rafael Dos Anjos,0,60 of 111,54%,75 of 126,4 of 7,57%,1,1,3:53,36 of 83,17 of 21,7 of 7,33 of 80,18 of 20,9 of 11
672,Decision - Unanimous,5,25:00,L,Kevin Lee,0,102 of 296,34%,121 of 319,3 of 5,60%,0,0,5:25,80 of 267,14 of 21,8 of 8,81 of 273,1 of 1,20 of 22,W,Al Iaquinta,0,111 of 228,48%,113 of 230,0 of 7,0%,0,0,0:14,82 of 189,19 of 28,10 of 11,110 of 226,0 of 0,1 of 2
673,TKO - Doctor's Stoppage,5,22:18,W,Kevin Lee,0,142 of 241,58%,233 of 344,4 of 9,44%,0,0,15:01,138 of 236,3 of 4,1 of 1,46 of 122,0 of 0,96 of 119,L,Edson Barboza,0,51 of 106,48%,64 of 119,0 of 1,0%,0,0,0:10,26 of 73,20 of 26,5 of 7,47 of 102,2 of 2,2 of 2
674,Submission,3,14:02,L,Kevin Lee,0,55 of 119,46%,71 of 137,3 of 6,50%,0,0,4:49,41 of 101,14 of 18,0 of 0,35 of 90,0 of 1,20 of 28,W,Tony Ferguson,0,54 of 103,52%,57 of 106,0 of 0,---,2,0,0:02,40 of 81,6 of 13,8 of 9,40 of 85,1 of 1,13 of 17
675,Submission,1,4:37,W,Kevin Lee,0,22 of 30,73%,37 of 45,1 of 1,100%,1,0,3:33,19 of 27,1 of 1,2 of 2,3 of 4,0 of 0,19 of 26,L,Michael Chiesa,0,4 of 9,44%,9 of 14,0 of 0,---,0,0,0:08,3 of 8,1 of 1,0 of 0,2 of 7,0 of 0,2 of 2
676,Submission,2,8:12,W,Kevin Lee,0,15 of 43,34%,23 of 52,1 of 8,12%,1,0,2:37,9 of 36,6 of 7,0 of 0,12 of 36,3 of 3,0 of 4,L,Francisco Trinaldo,0,25 of 59,42%,30 of 65,0 of 1,0%,1,0,0:45,19 of 52,6 of 7,0 of 0,15 of 47,5 of 6,5 of 6
677,Submission,2,9:31,W,Kevin Lee,0,20 of 28,71%,46 of 54,7 of 9,77%,2,0,6:37,13 of 21,7 of 7,0 of 0,1 of 8,7 of 7,12 of 13,L,Magomed Mustafaev,0,20 of 34,58%,34 of 49,0 of 2,0%,1,0,1:01,11 of 20,9 of 14,0 of 0,11 of 22,6 of 9,3 of 3
678,KO/TKO,1,4:06,W,Kevin Lee,0,24 of 38,63%,36 of 51,1 of 2,50%,0,0,2:35,21 of 35,3 of 3,0 of 0,2 of 6,2 of 3,20 of 29,L,Jake Matthews,0,5 of 13,38%,5 of 13,0 of 0,---,0,0,0:00,4 of 11,1 of 2,0 of 0,4 of 11,1 of 2,0 of 0
679,Decision - Unanimous,3,15:00,W,Kevin Lee,0,64 of 160,40%,99 of 200,1 of 4,25%,1,0,4:16,44 of 134,17 of 23,3 of 3,44 of 135,12 of 12,8 of 13,L,Efrain Escudero,0,70 of 114,61%,96 of 141,1 of 7,14%,0,0,2:13,34 of 69,13 of 18,23 of 27,53 of 96,17 of 18,0 of 0
680,KO/TKO,1,3:26,L,Kevin Lee,0,10 of 46,21%,10 of 46,0 of 0,---,0,0,0:00,5 of 40,5 of 6,0 of 0,10 of 46,0 of 0,0 of 0,W,Leonardo Santos,1,32 of 48,66%,32 of 48,1 of 1,100%,0,0,0:30,22 of 38,6 of 6,4 of 4,18 of 30,0 of 0,14 of 18
681,Submission,1,2:56,W,Kevin Lee,0,9 of 28,32%,9 of 28,1 of 2,50%,1,0,1:08,4 of 20,5 of 8,0 of 0,8 of 27,1 of 1,0 of 0,L,James Moontasri,0,6 of 18,33%,6 of 18,0 of 0,---,0,0,0:06,1 of 12,1 of 2,4 of 4,6 of 18,0 of 0,0 of 0
682,Decision - Unanimous,3,15:00,W,Kevin Lee,0,62 of 153,40%,118 of 217,4 of 5,80%,3,0,4:44,42 of 127,18 of 24,2 of 2,34 of 116,14 of 18,14 of 19,L,Michel Prazeres,0,33 of 89,37%,38 of 94,3 of 9,33%,0,0,3:14,26 of 80,4 of 6,3 of 3,31 of 86,2 of 3,0 of 0
683,Decision - Unanimous,3,15:00,W,Kevin Lee,0,74 of 157,47%,100 of 190,4 of 9,44%,0,0,8:45,53 of 131,21 of 26,0 of 0,24 of 84,19 of 27,31 of 46,L,Jon Tuck,0,30 of 80,37%,68 of 125,0 of 0,---,2,0,0:07,13 of 60,10 of 13,7 of 7,20 of 61,7 of 14,3 of 5
684,Decision - Split,3,15:00,W,Kevin Lee,0,49 of 110,44%,66 of 128,4 of 12,33%,0,1,7:07,33 of 90,16 of 20,0 of 0,36 of 94,7 of 10,6 of 6,L,Jesse Ronson,0,48 of 100,48%,51 of 105,1 of 2,50%,1,0,0:40,27 of 72,9 of 12,12 of 16,45 of 93,3 of 7,0 of 0
685,Decision - Unanimous,3,15:00,L,Kevin Lee,0,39 of 142,27%,51 of 155,1 of 8,12%,2,0,4:10,32 of 131,6 of 10,1 of 1,28 of 124,0 of 3,11 of 15,W,Al Iaquinta,1,49 of 122,40%,50 of 125,0 of 1,0%,1,0,1:48,41 of 106,6 of 13,2 of 3,47 of 120,0 of 0,2 of 2
686,KO/TKO,1,4:38,W,Beneil Dariush,1,36 of 64,56%,36 of 64,0 of 2,0%,0,0,1:57,30 of 57,3 of 4,3 of 3,33 of 60,3 of 4,0 of 0,L,Scott Holtzman,0,9 of 18,50%,11 of 20,0 of 1,0%,0,0,0:24,4 of 12,3 of 4,2 of 2,9 of 18,0 of 0,0 of 0
687,KO/TKO,2,6:00,W,Beneil Dariush,1,12 of 20,60%,17 of 28,1 of 3,33%,2,0,4:21,8 of 16,3 of 3,1 of 1,12 of 20,0 of 0,0 of 0,L,Drakkar Klose,0,15 of 25,60%,27 of 37,0 of 0,---,0,0,0:00,12 of 22,0 of 0,3 of 3,13 of 22,2 of 3,0 of 0
688,Submission,1,2:02,W,Beneil Dariush,0,13 of 18,72%,14 of 19,2 of 2,100%,1,0,0:45,8 of 13,3 of 3,2 of 2,11 of 16,2 of 2,0 of 0,L,Frank Camacho,0,3 of 9,33%,3 of 9,0 of 0,---,0,0,0:00,1 of 7,2 of 2,0 of 0,2 of 8,1 of 1,0 of 0
689,Submission,2,9:41,W,Beneil Dariush,0,37 of 65,56%,41 of 69,2 of 5,40%,1,0,5:17,22 of 47,12 of 14,3 of 4,17 of 39,10 of 14,10 of 12,L,Drew Dober,0,31 of 58,53%,38 of 66,0 of 0,---,0,0,1:01,17 of 44,9 of 9,5 of 5,17 of 43,14 of 15,0 of 0
690,Decision - Unanimous,3,15:00,W,Beneil Dariush,0,44 of 68,64%,113 of 161,4 of 8,50%,2,0,13:32,22 of 44,11 of 12,11 of 12,7 of 16,3 of 4,34 of 48,L,Thiago Moises,0,8 of 16,50%,20 of 30,0 of 2,0%,4,0,0:00,5 of 11,3 of 5,0 of 0,6 of 13,1 of 2,1 of 1
691,KO/TKO,1,0:42,L,Beneil Dariush,0,4 of 11,36%,4 of 11,0 of 0,---,0,0,0:00,2 of 7,1 of 3,1 of 1,4 of 11,0 of 0,0 of 0,W,Alexander Hernandez,1,8 of 13,61%,9 of 14,0 of 0,---,0,0,0:01,5 of 10,3 of 3,0 of 0,6 of 11,0 of 0,2 of 2
692,Decision - Majority,3,15:00,D,Beneil Dariush,1,81 of 157,51%,92 of 168,0 of 0,---,0,0,2:56,60 of 134,8 of 9,13 of 14,48 of 111,10 of 15,23 of 31,D,Evan Dunham,0,36 of 115,31%,66 of 149,1 of 7,14%,0,0,3:14,32 of 109,4 of 6,0 of 0,32 of 110,4 of 5,0 of 0
693,KO/TKO,2,8:35,L,Beneil Dariush,0,51 of 121,42%,51 of 121,0 of 2,0%,0,0,0:00,31 of 94,10 of 15,10 of 12,48 of 116,3 of 5,0 of 0,W,Edson Barboza,1,30 of 82,36%,31 of 83,0 of 0,---,0,0,0:03,13 of 61,13 of 17,4 of 4,29 of 81,0 of 0,1 of 1
694,Decision - Unanimous,3,15:00,W,Beneil Dariush,0,60 of 120,50%,73 of 134,0 of 5,0%,0,0,4:10,20 of 61,28 of 44,12 of 15,25 of 71,35 of 49,0 of 0,L,Rashid Magomedov,0,41 of 78,52%,79 of 129,1 of 2,50%,0,0,2:43,24 of 55,14 of 20,3 of 3,28 of 57,13 of 19,0 of 2
695,KO/TKO,1,4:16,W,Beneil Dariush,2,46 of 70,65%,48 of 72,0 of 2,0%,0,0,1:20,33 of 56,9 of 10,4 of 4,16 of 27,11 of 16,19 of 27,L,James Vick,0,9 of 30,30%,10 of 31,0 of 0,---,0,0,0:28,5 of 17,4 of 12,0 of 1,5 of 25,4 of 5,0 of 0
696,Submission,2,6:20,L,Beneil Dariush,0,27 of 53,50%,27 of 53,1 of 4,25%,0,0,1:00,11 of 33,4 of 7,12 of 13,24 of 47,3 of 6,0 of 0,W,Michael Chiesa,0,11 of 52,21%,12 of 53,1 of 2,50%,2,0,1:16,7 of 45,1 of 4,3 of 3,9 of 47,2 of 5,0 of 0
697,Decision - Split,3,15:00,W,Beneil Dariush,0,75 of 201,37%,75 of 201,0 of 7,0%,0,0,0:00,52 of 169,12 of 21,11 of 11,75 of 199,0 of 2,0 of 0,L,Michael Johnson,0,84 of 222,37%,85 of 223,0 of 0,---,0,0,0:00,32 of 133,49 of 85,3 of 4,83 of 221,1 of 1,0 of 0
698,Decision - Unanimous,3,15:00,W,Beneil Dariush,0,27 of 54,50%,55 of 86,2 of 4,50%,1,0,11:59,17 of 37,7 of 12,3 of 5,10 of 28,10 of 16,7 of 10,L,Jim Miller,0,11 of 27,40%,24 of 43,0 of 0,---,3,1,0:16,4 of 19,1 of 1,6 of 7,6 of 22,5 of 5,0 of 0
699,Submission,2,7:38,W,Beneil Dariush,0,27 of 51,52%,30 of 54,1 of 1,100%,2,0,2:09,13 of 35,11 of 13,3 of 3,18 of 38,2 of 5,7 of 8,L,Daron Cruickshank,0,17 of 43,39%,18 of 44,0 of 5,0%,0,0,0:24,10 of 31,2 of 6,5 of 6,11 of 35,6 of 8,0 of 0
700,Decision - Unanimous,3,15:00,W,Beneil Dariush,0,32 of 68,47%,54 of 97,3 of 6,50%,0,0,7:53,19 of 48,6 of 10,7 of 10,12 of 32,10 of 17,10 of 19,L,Diego Ferreira,0,21 of 85,24%,24 of 90,0 of 1,0%,0,0,0:36,11 of 71,8 of 12,2 of 2,14 of 71,7 of 14,0 of 0
701,Submission,2,8:38,W,Beneil Dariush,0,26 of 61,42%,30 of 65,2 of 3,66%,1,0,1:11,6 of 32,17 of 24,3 of 5,15 of 47,11 of 14,0 of 0,L,Anthony Rocco Martin,0,34 of 72,47%,38 of 76,1 of 4,25%,0,0,2:20,24 of 59,2 of 4,8 of 9,27 of 61,7 of 11,0 of 0
702,KO/TKO,1,4:20,L,Beneil Dariush,0,9 of 20,45%,14 of 25,0 of 1,0%,0,0,0:30,6 of 14,3 of 6,0 of 0,6 of 14,3 of 6,0 of 0,W,Ramsey Nijem,2,34 of 51,66%,92 of 121,1 of 1,100%,1,0,1:38,25 of 39,3 of 6,6 of 6,15 of 28,0 of 1,19 of 22
703,Submission,1,1:45,W,Beneil Dariush,1,9 of 21,42%,9 of 21,0 of 0,---,1,0,0:43,8 of 17,1 of 4,0 of 0,2 of 12,1 of 1,6 of 8,L,Charlie Brenneman,0,5 of 9,55%,7 of 11,0 of 1,0%,0,0,0:00,2 of 6,2 of 2,1 of 1,2 of 5,3 of 4,0 of 0
704,Decision - Unanimous,3,15:00,W,Islam Makhachev,1,43 of 95,45%,88 of 148,0 of 1,0%,0,0,4:39,32 of 81,7 of 10,4 of 4,29 of 74,3 of 3,11 of 18,L,Davi Ramos,0,7 of 58,12%,27 of 80,0 of 1,0%,0,0,0:25,5 of 43,1 of 14,1 of 1,5 of 56,2 of 2,0 of 0
705,Decision - Unanimous,3,15:00,W,Islam Makhachev,0,14 of 20,70%,47 of 53,4 of 9,44%,0,0,6:06,7 of 12,6 of 6,1 of 2,4 of 10,8 of 8,2 of 2,L,Arman Tsarukyan,0,13 of 43,30%,60 of 90,1 of 12,8%,0,0,1:47,5 of 25,7 of 15,1 of 3,6 of 34,7 of 9,0 of 0
706,Submission,1,4:43,W,Islam Makhachev,0,7 of 18,38%,14 of 26,1 of 1,100%,1,0,1:28,6 of 17,1 of 1,0 of 0,1 of 9,0 of 0,6 of 9,L,Kajan Johnson,0,7 of 17,41%,7 of 17,0 of 0,---,0,0,0:00,0 of 6,3 of 5,4 of 6,7 of 17,0 of 0,0 of 0
707,KO/TKO,1,0:57,W,Islam Makhachev,1,3 of 6,50%,3 of 6,0 of 0,---,0,0,0:01,2 of 5,1 of 1,0 of 0,2 of 4,0 of 0,1 of 2,L,Gleison Tibau,0,2 of 4,50%,2 of 4,0 of 0,---,0,0,0:00,1 of 2,0 of 1,1 of 1,2 of 4,0 of 0,0 of 0
708,Decision - Unanimous,3,15:00,W,Islam Makhachev,0,43 of 58,74%,98 of 127,5 of 5,100%,0,0,11:54,37 of 52,6 of 6,0 of 0,13 of 25,0 of 1,30 of 32,L,Nik Lentz,0,13 of 35,37%,35 of 61,0 of 2,0%,1,0,0:31,3 of 19,7 of 11,3 of 5,6 of 26,5 of 7,2 of 2
709,Decision - Unanimous,3,15:00,W,Islam Makhachev,0,12 of 19,63%,51 of 83,4 of 4,100%,2,2,8:56,5 of 12,7 of 7,0 of 0,7 of 14,0 of 0,5 of 5,L,Chris Wade,0,5 of 17,29%,42 of 61,0 of 0,---,2,4,4:04,2 of 9,0 of 5,3 of 3,3 of 13,0 of 0,2 of 4
710,KO/TKO,1,1:46,L,Islam Makhachev,0,4 of 15,26%,4 of 15,0 of 0,---,0,0,0:02,2 of 13,2 of 2,0 of 0,4 of 15,0 of 0,0 of 0,W,Adriano Martins,1,3 of 7,42%,3 of 7,0 of 0,---,0,0,0:00,2 of 6,0 of 0,1 of 1,2 of 6,0 of 0,1 of 1
711,Submission,2,7:38,W,Islam Makhachev,0,32 of 50,64%,53 of 80,3 of 5,60%,1,0,3:00,27 of 44,3 of 4,2 of 2,17 of 29,9 of 14,6 of 7,L,Leo Kuntz,0,7 of 25,28%,11 of 30,0 of 0,---,0,0,0:00,2 of 14,1 of 4,4 of 7,7 of 24,0 of 1,0 of 0
712,KO/TKO,1,2:47,L,Gregor Gillespie,0,9 of 46,19%,9 of 46,0 of 1,0%,0,0,0:00,8 of 45,0 of 0,1 of 1,9 of 46,0 of 0,0 of 0,W,Kevin Lee,1,21 of 59,35%,21 of 59,0 of 0,---,0,0,0:01,19 of 55,2 of 4,0 of 0,20 of 56,0 of 2,1 of 1
713,KO/TKO,2,9:59,W,Gregor Gillespie,0,51 of 71,71%,73 of 95,6 of 11,54%,0,1,8:48,38 of 58,10 of 10,3 of 3,1 of 11,6 of 9,44 of 51,L,Yancy Medeiros,0,1 of 12,8%,1 of 12,0 of 0,---,0,1,0:07,1 of 11,0 of 1,0 of 0,1 of 11,0 of 0,0 of 1
714,Submission,2,9:06,W,Gregor Gillespie,0,13 of 26,50%,30 of 48,7 of 9,77%,2,0,7:51,11 of 24,1 of 1,1 of 1,5 of 13,2 of 5,6 of 8,L,Vinc Pichel,0,7 of 22,31%,35 of 51,0 of 0,---,0,0,0:00,6 of 21,0 of 0,1 of 1,3 of 17,4 of 5,0 of 0
715,KO/TKO,1,4:46,W,Gregor Gillespie,0,34 of 55,61%,42 of 63,1 of 2,50%,0,0,3:43,31 of 51,1 of 2,2 of 2,5 of 19,1 of 1,28 of 35,L,Jordan Rinaldi,0,7 of 16,43%,7 of 16,0 of 0,---,0,0,0:00,5 of 14,1 of 1,1 of 1,7 of 16,0 of 0,0 of 0
